"agency_cd","site_no","date","water_temp_C","water_temp_code","discharge_cfs","discharge_code","gage_height_ft","gage_height_code","conductivity_uScm","conductivity_code","dissolved_oxygen_mgL","dissolved_oxygen_code","turbidity_ntu","turbidity_code","salinity_psu","salinity_code","pH","pH_code"
"USGS","07374000",2007-01-01,9.8,"A",431000,"A",17.32,"A",376,"A",NA,NA,0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-02,9.6,"A",458000,"A",18.64,"A",358,"A",NA,NA,0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-03,9.2,"A",499000,"A",20.61,"A",363,"A",NA,NA,0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-04,9.1,"A",540000,"A",22.43,"A",377,"A",10.5,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-05,9.4,"A",585000,"A",24.3,"A",360,"A",10.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-06,9.3,"A",605000,"A",25.07,"A",345,"A",10.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-07,9.6,"A",618000,"A",25.54,"A",323,"A",10.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-08,9.4,"A",625000,"A",25.8,"A",331,"A",10.5,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-09,9.3,"A",630000,"A",25.96,"A",339,"A",10.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-10,9.2,"A",634000,"A",26.1,"A",349,"A",10.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-11,9.1,"A",636000,"A",26.17,"A",357,"A",10.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-12,9.1,"A",637000,"A",26.2,"A",355,"A",10.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-13,9.4,"A",632000,"A",26.02,"A",349,"A",10.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-14,9.5,"A",633000,"A",26.07,"A",344,"A",10.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-15,9.6,"A",665000,"A",26.43,"A",341,"A",10.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-16,9.4,"A",690000,"A",27.04,"A",338,"A",11.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-17,9,"A",735000,"A",27.83,"A",336,"A",11.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-18,8.7,"A",779000,"A",28.7,"A",335,"A",11.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-19,8.5,"A",822000,"A",29.54,"A",328,"A",11.2,"A",0.2,"A",NA,NA,NA,NA
