,CELL_ID,COURSE_CLASSIFICATION,TYPE,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species
26,Cyanobacteria,Bacteria,Cell,Bacteria,Cyanobacteria,Cyanobacteria,,,,,
120,dino_mix,Biol unknown,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,,,,
30,DactFragCeratul,Biol unknown,Biol unknown,,,,,,,,
91,Round_Cell,Biol unknown,Biol unknown,,,,,,,,
121,fecal_pellets,Biol unknown,Biol unknown,,,,,,,,
122,filament,Biol unknown,Biol unknown,,,,,,,,
124,freshwater_green,Biol unknown,Biol unknown,,,,,,,,
119,detritus,Biol unknown,Cell,,,,,,,,
123,flagellate,Biol unknown,Cell,,,,,,,,
4,Anabaena,Cyanobacteria,Cell,Bacteria,Cyanobacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
118,cyano_chain_sm,Cyanobacteria,Cell,Bacteria,Cyanobacteria,Cyanobacteria,,,,,
130,unclassified,IFCB excess,Biol unknown,,,,,,,,
10,Beads,IFCB excess,Non-biol,,,,,,,,
104,Tin_aggl,IFCB excess,Non-biol,,,,,,,,
105,Tin_hyal,IFCB excess,Non-biol,,,,,,,,
113,blurry,IFCB excess,Non-biol,,,,,,,,
114,bubble,IFCB excess,Non-biol,,,,,,,,
72,Oyster_larvae,Larvae,Biol unknown,,,,,,,,
33,Didinium_gargantua,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Litostomatea,Haptorida,Didiniidae,Didinium ,Didinium_gargantua
65,Mesodinium_rubrum,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Mesodinium,Mesodinium_rubrum
128,scuticociliates,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligohymenophorea,,,,
29,Cyrtostrombidium,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Cyrtostrombidiidae ,Cyrtostrombidium,
61,Laboea,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,Laboea,
96,Strobilidium_sp,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Choreotrichida,Strobilidiidae,Strobilidium,
98,Strombidium_capitatum,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium_capitatum
99,Strombidium_conicum,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,Strombidium_conicum
106,Tontoniidae,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Tontoniidae,,
97,Strom_Strob_Mix,Microeukaryote,Cell type,Eukarya,Alveolata,Ciliophora,Oligotrichea,Oligotrichida,Strombidiidae,Strombidium,
54,Hypotrich,Microeukaryote,Cell,Eukarya,Alveolata,Ciliophora,Spirotrichea,,,,
116,ciliate_small,Microeukaryote,Cell type,Eukarya,Alveolata,Ciliophora,,,,,
3,Alexandrium,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,
8,Azadinium,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,,,,
11,Brachidinium,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gymnodiniales,Brachidiniaceae,Brachidinium,
13,Ceratoperidinium,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gymnodiniales,Warnowiaceae,Ceratoperidinium,
24,Coolia,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gonyaulacales,Ostreopsidaceae ,Coolia,
35,Dinophysis,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Dinophysales,Dinophysaceae ,Dinophysis,
47,Gyrodinium,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gymnodiniales,Gyrodiniaceae,Gyrodinium,
50,Heterocapsa_pseudotriquetra,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_pseudotriquetra
51,Heterocapsa_rotundata,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_rotundata
52,Heterocapsa_spp,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,
53,Heterocapsa_triquetra,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_triquetra
55,Karenia_brevis,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia_brevis
57,Karenia_spp,Microeukaryote,Cell,Eukarya,Alveolata,Dinoflagellate,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,
